country,year,emigration,immigration
NO,1994,19475,26911
NO,1995,19311,25678
NO,1997,21257,31957
NO,1998,22881,36704
NO,1999,22842,41841
NO,2000,26854,36542
NO,2001,26309,34264
NO,2002,22948,40122
NO,2003,24672,35957
NO,2004,23271,36482
NO,2005,21709,40148
NO,2006,22053,45776
NO,2007,22122,61774
NO,2008,12976,58123
NO,2009,17072,55953
NO,2010,25835,69214
NO,2011,20349,70337
NO,2012,22693,69908
NO,2013,26523,68313
NO,2014,29308,66903
NO,2015,29173,60816
NO,2016,34694,61460
NO,2017,31963,53351
NO,2018,27158,47864
NO,2019,23207,48680
NO,2020,21447,36287
NO,2021,34297,53947
PL,1990,18440,2626
PL,1991,20977,5040
PL,1992,18115,6512
PL,1993,21376,5924
PL,1994,25904,6907
PL,1995,26344,8121
PL,1996,21297,8186
PL,1997,20222,8426
PL,1998,22177,8916
PL,1999,21536,7525
PL,2000,26999,7331
PL,2001,23368,6625
PL,2002,24532,6587
PL,2003,20813,7048
PL,2004,18877,9495
PL,2005,22242,9364
PL,2006,46936,10802
PL,2007,35480,14995
PL,2008,30140,15275
PL,2009,229320,189166
PL,2010,218126,155131
PL,2011,265798,157059
PL,2012,275603,217546
PL,2013,276446,220311
PL,2014,268299,222275
PL,2015,258837,218147
PL,2016,236441,208302
PL,2017,218492,209353
PL,2018,189794,214083
PL,2019,180594,226649
PL,2020,161666,210615
PL,2021,201595,241116
PT,1991,37336,4507
PT,1992,25559,16202
PT,1993,16566,27989
PT,1994,14552,38825
PT,1995,11290,42702
PT,1996,14533,51656
PT,1997,18468,59875
PT,1998,11098,56788
PT,1999,14040,68297
PT,2000,10667,77775
PT,2001,5396,61609
PT,2002,8813,50611
PT,2003,6687,31425
PT,2004,6757,21093
PT,2005,6360,21741
PT,2006,5600,22741
PT,2007,7890,29661
PT,2008,20357,29718
PT,2009,16899,32307
PT,2010,23760,27575
PT,2011,43998,19667
PT,2012,51958,14606
PT,2013,53786,17554
PT,2014,49572,19516
PT,2015,40377,29896
PT,2016,38273,29925
PT,2017,31753,36639
PT,2018,31600,43170
PT,2019,28219,72725
PT,2020,25886,67160
PT,2021,25079,50721
RO,2008,302796,138929
RO,2009,246626,135844
RO,2010,197985,149885
RO,2011,195551,147685
RO,2012,170186,167266
RO,2013,161755,153646
RO,2014,172871,136035
RO,2015,194718,132795
RO,2016,207578,137455
RO,2017,242193,177435
RO,2018,231661,172578
RO,2019,233736,202422
RO,2020,186818,145519
RO,2021,216861,194642
SE,1990,25196,60048
SE,1991,24745,49731
SE,1992,25726,45348
SE,1993,29874,61872
SE,1994,32661,83598
SE,1995,33984,45887
SE,1996,33884,39895
SE,1997,38543,44818
SE,1998,38518,49391
SE,1999,35705,49839
SE,2000,34091,58659
SE,2001,32141,60795
SE,2002,33009,64087
SE,2003,35023,63795
SE,2004,36586,62028
SE,2005,38118,65229
SE,2006,44908,95750
SE,2007,45418,99485
