DATAFLOW,LAST UPDATE,freq,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2020,728606,be
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DE,2021,874367,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1990,40715,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1991,43567,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1992,43377,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1993,43400,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1994,44961,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1995,63187,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1996,54445,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1997,50105,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1998,51372,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,1999,50236,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2000,52915,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2001,55984,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2002,52778,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2003,49754,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2004,49860,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2005,52458,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2006,56750,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2007,64656,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2008,57357,b
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2009,51800,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2010,52236,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2011,52833,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,DK,2012,54409,
