country,year,purchasing_power
TR,2000,7900
TR,2001,7600
TR,2002,7600
TR,2003,7900
TR,2004,8900
TR,2005,9800
TR,2006,10800
TR,2007,11700
TR,2008,12400
TR,2009,11700
TR,2010,13100
TR,2011,14600
TR,2012,15200
TR,2013,16100
TR,2014,17300
TR,2015,18600
TR,2016,18500
TR,2017,19400
TR,2018,19200
TR,2019,18500
TR,2020,18300
TR,2021,20000
TR,2022,23800
UK,2000,22000
UK,2001,23100
UK,2002,23800
UK,2003,24900
UK,2004,26200
UK,2005,26800
UK,2006,27600
UK,2007,28000
UK,2008,28500
UK,2009,26500
UK,2010,27600
UK,2011,27700
UK,2012,28300
UK,2013,28800
UK,2014,29600
UK,2015,30600
UK,2016,30600
UK,2017,31600
UK,2018,31900
UK,2019,32500
UK,2020,30700
UK,2021,33300
UK,2022,35200
US,2000,30100
US,2001,30700
US,2002,30500
US,2003,32400
US,2004,34000
US,2005,36100
US,2006,36700
US,2007,37900
US,2008,37600
US,2009,35600
US,2010,36800
US,2011,37200
US,2012,38100
US,2013,38300
US,2014,39400
US,2015,40600
US,2016,40000
US,2017,40900
US,2018,42300
US,2019,42100
US,2020,40600
US,2021,44300
US,2022,47400
