DATAFLOW,LAST UPDATE,freq,unit,subjnmon,hhtyp,incgrp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2013,4.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2014,4.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2015,3.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2016,3.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2017,3.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2018,3.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2019,3.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2020,3.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2021,2.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,DK,2022,3.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2004,1.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2005,1.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2006,4.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2007,3.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2008,3.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2009,7.9,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2010,8.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2011,8.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2012,8.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2013,7.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2014,6.5,b
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2015,4.9,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2016,4.9,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2017,3.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2018,4.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2019,2.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2020,2.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2021,2.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2022,2.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EE,2023,2.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2003,17.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2004,14.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2005,17.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2006,18.4,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2007,18.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2008,20.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2009,22.3,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2010,24.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2011,25.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2012,35.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2013,39.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2014,39.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2015,38.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2016,40.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2017,39.9,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2018,38.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2019,37.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2020,36.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2021,39.0,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,EL,2022,36.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2004,11.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2005,11.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2006,12.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2007,11.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2008,13.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2009,16.2,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2010,15.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2011,11.1,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2012,14.7,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2013,18.6,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2014,17.5,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2015,14.8,
ESTAT:ILC_MDES09(1.0),15/02/24 11:00:00,A,PC,EM_GD,TOTAL,TOTAL,ES,2016,16.6,
