DATAFLOW,LAST UPDATE,freq,sex,unit,indic_il,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,1999,11.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2000,10.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2001,11.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2005,12.2,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2006,12.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2007,15.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2008,15.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2009,15.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2010,15.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2011,15.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2012,16.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2013,16.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2014,16.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2015,16.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2016,16.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2017,16.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2018,16.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2019,14.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2020,16.1,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2021,16.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DE,2022,14.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,1995,10.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,1997,10.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,1999,10.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2001,10.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2003,11.7,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2004,10.9,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2005,11.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2006,11.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2007,11.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2008,11.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2009,13.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2010,13.3,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2011,12.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2012,12.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2013,11.9,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2014,12.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2015,12.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2016,11.9,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2017,12.4,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2018,12.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2019,12.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2020,12.1,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2021,12.3,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,DK,2022,12.4,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2000,18.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2001,18.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2002,18.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2004,20.2,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2005,18.3,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2006,18.3,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2007,19.4,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2008,19.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2009,19.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2010,15.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2011,17.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2012,17.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2013,18.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2014,21.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2015,21.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2016,21.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2017,21.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2018,21.9,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2019,21.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2020,20.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2021,20.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EE,2022,22.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,1995,22.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,1996,21.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,1997,21.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,1998,21.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,1999,21.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2000,20.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2001,20.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2003,20.7,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2004,19.9,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2005,19.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2006,20.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2007,20.3,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2008,20.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2009,19.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2010,20.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2011,21.4,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2012,23.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2013,23.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2014,22.1,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2015,21.4,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2016,21.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2017,20.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2018,18.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2019,17.9,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2020,17.7,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2021,19.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,EL,2022,18.8,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,ES,1995,19.0,
