DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2007,22.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2008,23.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2009,25.7,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2010,26.0,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2011,27.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2012,28.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2013,29.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2014,28.4,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2015,29.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2016,30.5,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2017,31.3,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2018,32.3,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2019,33.3,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2020,35.3,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2021,36.9,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DE,2022,37.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2000,28.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2001,31.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2002,32.3,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2003,35.1,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2004,37.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2005,39.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2006,40.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2007,36.2,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2008,36.2,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2009,37.4,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2010,37.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2011,38.6,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2012,40.2,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2013,40.9,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2014,41.6,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2015,43.0,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2016,44.6,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2017,45.5,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2018,45.8,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2019,47.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2020,47.1,
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2021,49.7,b
ESTAT:SDG_04_20(1.0),03/01/24 23:00:00,A,T,Y25-34,PC,ED5-8,DK,2022,49.0,
