country,year,tertiary_attainment_percentage
SK,2015,31.3
SK,2016,33.4
SK,2017,35.1
SK,2018,37.2
SK,2019,39.2
SK,2020,39.0
SK,2021,39.5
SK,2022,39.1
TR,2006,12.8
TR,2007,13.5
TR,2008,14.7
TR,2009,15.9
TR,2010,16.8
TR,2011,18.1
TR,2012,20.1
TR,2013,21.5
TR,2014,23.8
TR,2015,26.5
TR,2016,29.4
TR,2017,30.5
TR,2018,32.1
TR,2019,34.1
TR,2020,36.2
UK,2000,31.5
UK,2001,33.0
UK,2002,34.7
UK,2003,33.9
UK,2004,35.5
UK,2005,35.8
UK,2006,36.8
UK,2007,37.8
UK,2008,38.6
UK,2009,40.1
UK,2010,41.6
UK,2011,43.8
UK,2012,45.1
UK,2013,45.2
UK,2014,45.8
UK,2015,46.9
UK,2016,47.1
UK,2017,47.2
UK,2018,48.1
UK,2019,49.4
